,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
145,Sayyan,0,YE,1563144118,56,15.17,44.32,74.38,3.53
146,Cidreira,100,BR,1563144118,86,-30.17,-50.22,50.26,5.39
147,Venice,20,US,1563144118,66,27.1,-82.45,93.99,12.75
148,Saint George,40,GR,1563144119,60,39.45,22.34,73.4,1.36
149,Pahrump,1,US,1563144002,5,36.21,-115.98,108.0,17.22
150,Martaban,100,MM,1563144119,87,16.53,97.61,77.44,3.42
151,Formosa,0,BR,1563144119,34,-15.55,-47.33,63.4,3.11
152,Kerema,100,PG,1563144120,87,-7.96,145.78,74.38,2.44
153,Samarai,100,PG,1563144120,94,-10.62,150.67,74.2,7.96
154,Xining,100,CN,1563143943,79,36.62,101.77,50.98,0.98
155,Sola,33,TZ,1563144121,61,-3.17,33.8,65.92,6.71
156,Hopelchen,40,MX,1563144121,47,19.77,-89.85,95.0,11.41
157,Nhulunbuy,28,AU,1563144122,60,-12.18,136.78,73.4,14.99
158,Cookeville,1,US,1563143922,69,36.16,-85.5,82.99,2.46
159,Podgornoye,0,RU,1563144122,66,57.79,82.64,58.9,5.46
160,Hohenems,67,AT,1563144123,77,47.36,9.69,62.01,14.99
161,Muyezerskiy,85,RU,1563144123,95,63.93,31.65,44.14,5.35
162,Nanortalik,94,GL,1563144123,95,60.14,-45.24,38.02,3.96
163,Marzuq,0,YE,1563144124,46,14.4,46.47,74.92,6.6
164,Iqaluit,75,CA,1563143877,75,63.75,-68.52,46.4,8.05
165,Arraial do Cabo,5,BR,1563144124,73,-22.97,-42.02,72.4,2.66
166,Rawson,33,AR,1563144124,57,-43.3,-65.11,45.22,9.57
167,Vila Franca do Campo,20,PT,1563144125,77,37.72,-25.43,69.8,10.29
168,Sao Leopoldo,75,BR,1563144125,87,-29.76,-51.15,55.0,2.24
169,Kawalu,48,ID,1563144126,87,-7.38,108.21,65.92,2.91
170,Lugovoy,29,RU,1563144126,87,59.72,65.88,67.36,8.3
171,Mandalgovi,100,MN,1563144126,59,45.76,106.27,65.74,15.39
172,Kendal,20,ID,1563144126,61,-6.92,110.2,77.0,4.7
173,Pavlohrad,0,UA,1563144127,67,48.53,35.87,62.6,2.53
174,Charlestown,20,US,1563144127,62,41.38,-71.64,87.8,8.05
175,Ponta Delgada,20,PT,1563144127,77,37.73,-25.67,69.8,10.29
176,New Norfolk,40,AU,1563144128,75,-42.78,147.06,48.0,6.93
177,Northam,0,AU,1563143877,66,-31.65,116.67,51.8,12.75
178,Ahuimanu,1,US,1563144128,74,21.44,-157.84,88.0,11.41
179,Beringovskiy,100,RU,1563144129,72,63.05,179.32,59.8,5.28
180,Sibolga,94,ID,1563144129,78,1.74,98.78,81.22,6.11
181,Zarubino,32,RU,1563144129,68,42.65,131.06,70.06,4.85
182,Portland,40,US,1563144089,44,43.66,-70.25,81.0,10.29
183,Makinsk,0,KZ,1563144130,85,52.63,70.42,64.84,9.82
184,Ancud,0,CL,1563144130,81,-41.87,-73.83,44.6,8.05
185,Pisco,90,PE,1563144131,30,-13.71,-76.2,71.6,14.99
186,Bridgeton,40,US,1563144131,46,38.77,-90.41,90.0,13.87
187,Ambon,0,FR,1563144131,77,47.55,-2.56,66.0,9.17
188,Sitka,0,US,1563144131,40,37.17,-99.65,91.0,8.01
189,Kumbo,50,CM,1563144132,93,6.21,10.69,61.42,2.46
190,Lyangasovo,38,RU,1563144132,92,58.52,49.45,52.96,0.92
191,Dikson,100,RU,1563144132,84,73.51,80.55,41.62,12.66
192,San Jeronimo,6,PE,1563144133,84,-13.65,-73.37,46.66,3.65
193,Kattivakkam,20,IN,1563144133,78,13.22,80.32,80.6,8.05
194,Fairbanks,1,US,1563144046,46,64.84,-147.72,77.0,6.93
195,Dunedin,30,NZ,1563143980,57,-45.87,170.5,46.99,7.0
196,Codrington,0,AU,1563144134,50,-28.95,153.24,53.6,14.99
197,Namibe,46,AO,1563144134,85,-15.19,12.15,66.46,14.18
198,Tazovskiy,49,RU,1563144134,91,67.47,78.7,56.74,11.18
199,Ribeira Grande,76,PT,1563144135,70,38.52,-28.7,68.98,9.51
200,Honavar,45,IN,1563144135,80,14.28,74.45,81.4,13.91
201,Marsa Matruh,0,EG,1563144135,74,31.35,27.25,78.7,7.05
202,Saint-Francois,0,FR,1563144136,63,46.42,3.91,62.6,4.7
203,Vanimo,41,PG,1563144136,77,-2.67,141.3,80.86,3.58
204,Narsaq,1,GL,1563144136,62,60.91,-46.05,57.2,13.87
205,Saskylakh,2,RU,1563144137,55,71.97,114.09,49.36,11.9
206,Saint-Georges,35,CA,1563144042,67,46.12,-70.67,69.01,4.0
207,Issenye,97,CM,1563144137,68,12.51,14.37,82.3,17.63
208,Bredasdorp,14,ZA,1563144138,87,-34.53,20.04,45.0,2.24
209,Santa Elena,40,EC,1563144138,73,-2.23,-80.86,75.2,6.62
210,Broome,75,GB,1563144138,76,52.47,1.45,57.99,6.93
211,Sangar,58,RU,1563144138,54,63.92,127.47,67.54,12.33
212,Tura,99,RU,1563144139,77,64.27,100.22,64.66,5.68
213,Paamiut,0,GL,1563144139,88,61.99,-49.67,43.06,5.32
214,Souillac,0,FR,1563144139,49,45.6,-0.6,69.8,9.17
215,Norman Wells,75,CA,1563144140,46,65.28,-126.83,71.6,3.36
216,Faanui,31,PF,1563144140,73,-16.48,-151.75,79.24,8.3
217,Uvinza,0,TZ,1563144140,77,-5.1,30.39,65.74,2.42
218,Troitsko-Pechorsk,69,RU,1563144141,98,62.71,56.19,54.76,6.15
219,Guangyuan,100,CN,1563144141,75,32.43,105.86,80.01,2.26
220,Maniitsoq,0,GL,1563144141,73,65.42,-52.9,48.28,12.71
221,Bilibino,100,RU,1563144142,60,68.06,166.44,61.06,6.17
222,Lethem,23,GY,1563144142,64,3.38,-59.8,81.58,5.75
223,Bandundu,7,CD,1563144142,73,-3.32,17.38,74.74,3.8
224,Acapulco,75,MX,1563144143,70,16.86,-99.88,86.0,8.05
225,Castlegar,85,CA,1563144143,39,49.32,-117.66,77.0,5.99
226,Brezice,6,SI,1563144143,87,45.9,15.59,62.6,2.48
227,Anadyr,75,RU,1563143999,87,64.73,177.51,55.4,15.66
228,Kibre Mengist,100,ET,1563144144,99,5.87,38.99,53.14,2.77
229,Guipavas,0,FR,1563144144,72,48.43,-4.4,64.0,6.93
230,Karratha,0,AU,1563144145,24,-20.74,116.85,63.94,20.85
231,Deputatskiy,58,RU,1563144145,53,69.3,139.9,51.7,11.21
232,Sergeyevka,25,KZ,1563144146,66,53.88,67.42,63.76,8.93
233,Laguna,40,BZ,1563143955,62,16.17,-88.94,89.6,6.93
234,Mehamn,100,NO,1563144146,90,71.03,27.85,42.52,5.53
235,Lensk,36,RU,1563144146,74,60.71,114.91,69.88,7.67
236,Butaritari,100,KI,1563144147,72,3.07,172.79,83.92,9.37
237,Hambantota,0,LK,1563144147,100,6.12,81.12,77.0,5.82
238,Beloha,34,MG,1563144147,87,-25.17,45.06,62.86,13.82
239,Sorland,100,NO,1563144148,81,67.67,12.69,49.72,11.27
240,Matara,10,BI,1563144148,86,-3.48,29.48,50.08,0.74
241,High Level,75,CA,1563144149,46,58.52,-117.13,69.8,10.29
242,Damavand,75,IR,1563144149,39,35.72,52.07,80.6,6.93
243,Porto Novo,0,BR,1563144149,46,-23.68,-45.44,71.6,1.12
244,Qobustan,0,AZ,1563144149,82,40.08,49.41,68.0,8.05
245,Atikokan,69,CA,1563144150,57,48.76,-91.62,82.84,5.32
246,Lucapa,0,AO,1563144150,38,-8.42,20.74,65.38,4.5
247,Grindavik,75,IS,1563144151,93,63.84,-22.43,59.0,14.99
248,Egvekinot,100,RU,1563144151,82,66.32,-179.17,54.4,12.75
249,Danielskuil,0,ZA,1563144151,22,-28.19,23.54,53.5,9.8
250,Beipiao,0,CN,1563144152,46,41.8,120.76,78.52,3.69
251,Soe,0,EE,1563144152,93,57.91,26.05,54.0,4.7
252,Otavi,0,NA,1563144152,17,-19.64,17.34,50.44,6.67
253,Ixtapa,75,MX,1563144152,94,20.71,-105.21,86.0,4.7
254,Bose,75,IT,1563144153,93,45.46,8.01,69.8,4.7
255,Beyneu,0,KZ,1563144153,61,45.32,55.19,69.34,16.33
256,Tapejara,63,BR,1563144154,68,-23.73,-52.87,66.46,3.38
257,Clyde River,90,CA,1563144154,93,70.47,-68.59,41.0,14.99
258,Ginda,75,IN,1563144154,74,30.69,78.49,59.26,2.13
259,Seymchan,3,RU,1563144154,43,62.93,152.39,79.42,15.41
260,Fortuna,40,ES,1563144155,83,38.18,-1.13,79.0,6.93
261,Newport,1,US,1563144155,43,41.49,-71.31,89.6,8.05
262,Piranhas,3,BR,1563144156,97,-9.61,-37.76,68.44,5.73
263,Luderitz,0,NA,1563144156,100,-26.65,15.16,48.2,1.12
264,Ivanivka,23,UA,1563144156,64,46.71,34.54,61.96,1.41
265,Half Moon Bay,90,US,1563144157,87,37.46,-122.43,80.01,6.93
266,Visby,51,SE,1563144157,66,57.64,18.3,53.6,6.93
267,Mosquera,40,CO,1563144157,48,4.71,-74.23,64.4,9.17
268,Tigil,32,RU,1563144158,62,57.8,158.67,65.74,19.71
269,Ulladulla,0,AU,1563144158,62,-35.36,150.48,53.01,17.22
270,Umm Lajj,3,SA,1563144158,65,25.02,37.27,87.7,13.91
271,Lata,88,IN,1563144159,96,30.78,78.62,38.56,1.66
272,Macomb,40,US,1563144159,55,40.46,-90.67,91.99,8.05
273,Port-Gentil,75,GA,1563144010,88,-0.72,8.78,77.0,6.93
274,Bethel,75,US,1563144160,60,60.79,-161.76,68.0,5.46
275,Gobabis,0,NA,1563144160,19,-22.45,18.97,50.0,2.24
276,Hof,40,DE,1563144160,82,50.32,11.92,57.2,3.31
277,Charters Towers,99,AU,1563144161,40,-20.07,146.27,55.12,17.29
278,Provideniya,40,RU,1563144161,71,64.42,-173.23,53.6,8.95
279,Shitanjing,96,CN,1563144161,41,39.23,106.34,73.0,1.01
280,Erzin,40,TR,1563144162,73,36.95,36.2,78.01,11.41
281,Tokmak,18,UA,1563144162,64,47.26,35.7,61.06,1.48
282,Bathsheba,75,BB,1563144111,94,13.22,-59.52,77.0,18.34
283,Port Keats,25,AU,1563144163,31,-14.25,129.55,65.38,19.82
284,Tevaitoa,33,PF,1563144163,78,-16.78,-151.5,78.16,10.16
285,Sept-Iles,90,CA,1563144090,93,50.2,-66.38,57.2,6.93
286,San Quintin,41,PH,1563144164,79,17.54,120.52,80.32,3.18
287,Konstantinovsk,0,RU,1563144164,64,47.58,41.1,63.04,3.98
288,Kodinar,99,IN,1563144164,79,20.79,70.7,81.76,17.54
289,Cherskiy,100,RU,1563144165,80,68.75,161.3,44.32,23.24
290,Thunder Bay,75,CA,1563144165,48,48.41,-89.26,82.4,14.99
291,Zhezkazgan,0,KZ,1563144165,34,47.8,67.71,74.38,8.46
292,Sarangani,83,PH,1563144166,77,5.4,125.46,80.5,10.92
293,Pueblo Nuevo,0,AR,1563144166,58,-32.93,-68.73,57.2,2.24
294,Tautira,75,PF,1563144166,69,-17.73,-149.15,80.6,11.41
295,Ratnagiri,99,IN,1563144167,82,16.98,73.3,82.12,20.76
296,Henties Bay,0,NA,1563144167,96,-22.12,14.28,53.01,1.99
297,Tuatapere,98,NZ,1563144167,93,-46.13,167.69,39.0,4.0
298,Taoudenni,15,ML,1563144167,22,22.68,-3.98,92.74,2.62
299,Geraldton,90,CA,1563144168,60,49.72,-86.95,75.2,9.17
300,Thinadhoo,100,MV,1563144168,69,0.53,72.93,83.38,4.12
301,Sosua,75,DO,1563144168,79,19.77,-70.52,84.99,11.41
302,Mount Isa,14,AU,1563144169,34,-20.73,139.49,50.0,12.75
303,Yerofey Pavlovich,100,RU,1563144169,92,53.97,121.97,63.04,7.85
304,Jalu,0,LY,1563143983,51,29.03,21.55,78.88,8.66
305,Manadhoo,100,MV,1563144169,71,5.77,73.38,83.2,9.71
306,Salalah,90,OM,1563144170,94,17.01,54.1,78.8,6.93
307,Grand Gaube,75,MU,1563143916,88,-20.01,57.66,66.2,4.7
308,Port Hedland,0,AU,1563144170,24,-20.31,118.58,59.0,9.17
309,Tarazona,0,ES,1563144171,49,41.91,-1.72,71.6,19.46
310,Haines Junction,12,CA,1563144171,39,60.75,-137.51,65.92,11.27
311,Svetlaya,100,RU,1563144171,98,46.54,138.33,55.3,2.71
312,Qaqortoq,1,GL,1563144172,62,60.72,-46.03,57.2,13.87
313,Port Lincoln,97,AU,1563144172,76,-34.72,135.86,54.22,12.59
314,Concepcion del Oro,90,MX,1563144173,39,24.63,-101.42,75.28,12.97
315,Cockburn Town,40,TC,1563144007,70,21.46,-71.14,86.0,16.11
316,Matadi,3,CD,1563144173,88,-5.83,13.46,69.34,1.66
317,La Ronge,75,CA,1563144174,64,55.1,-105.3,71.6,5.82
318,Zyryanka,71,RU,1563144174,79,65.73,150.89,53.68,20.51
319,Nagykallo,0,HU,1563144174,67,47.87,21.84,62.6,10.29
320,Inhambane,0,MZ,1563144175,93,-23.87,35.38,60.16,3.29
321,Aguimes,20,ES,1563144175,73,27.91,-15.45,73.4,26.4
322,Antigonish,90,CA,1563144175,88,45.62,-61.99,68.0,4.7
323,Kutum,74,SD,1563144176,54,14.2,24.66,76.72,10.18
324,Kieta,100,PG,1563144176,72,-6.22,155.63,81.58,1.95
325,Port Shepstone,0,ZA,1563144177,24,-30.74,30.45,62.5,8.66
326,Nome,90,US,1563144177,83,30.04,-94.42,90.0,9.17
327,Radhan,0,PK,1563144177,32,27.18,67.95,99.4,5.73
328,Esperance,0,AU,1563144178,100,-33.86,121.89,41.0,9.17
329,Palmer,75,AU,1563144178,93,-34.85,139.16,51.8,11.41
330,Marevo,75,BA,1563144178,93,43.57,18.7,57.2,2.24
331,Fort Smith,90,US,1563143929,69,35.39,-94.42,84.2,20.8
332,Agadez,1,NE,1563144179,65,16.97,7.99,80.6,5.14
333,Sabancuy,100,MX,1563144179,76,18.97,-91.18,85.18,14.92
334,Awjilah,0,LY,1563144180,56,29.14,21.3,76.9,8.46
335,Bissau,40,GW,1563144180,83,11.86,-15.58,80.6,3.36
336,Rocha,5,UY,1563144180,94,-34.48,-54.34,41.8,2.84
337,Guiyang,75,CN,1563144181,94,26.58,106.71,68.0,2.24
338,Vondrozo,8,MG,1563144181,95,-22.82,47.32,51.7,2.33
339,The Valley,40,AI,1563144181,69,18.22,-63.06,84.2,16.11
340,Tiksi,94,RU,1563144181,56,71.64,128.87,46.12,12.64
341,Carutapera,8,BR,1563144182,85,-1.2,-46.02,77.44,7.18
342,Fayaoue,100,NC,1563144182,72,-20.65,166.53,72.4,2.71
343,Benjamin Aceval,75,PY,1563144183,83,-24.97,-57.57,69.8,9.17
344,Suluq,0,LY,1563144183,79,31.67,20.25,79.24,3.56
345,Sorong,100,ID,1563144183,79,-0.86,131.25,77.62,9.57
346,Khasan,61,RU,1563144014,76,42.43,130.64,68.98,4.12
347,Whitehorse,75,CA,1563143956,59,60.72,-135.06,71.01,8.05
348,Alyangula,32,AU,1563144184,60,-13.85,136.42,69.8,8.05
349,Ambilobe,0,MG,1563144184,64,-13.19,49.05,66.82,12.35
350,Collie,33,AU,1563144184,69,-33.36,116.15,43.0,6.22
351,Meulaboh,95,ID,1563144185,71,4.14,96.13,80.86,7.16
352,Takoradi,0,GH,1563144185,92,4.89,-1.75,71.32,3.09
353,Bousse,0,FR,1563144185,71,49.28,6.2,61.0,3.36
354,Krasnaya Gorbatka,0,RU,1563144186,87,55.87,41.76,49.0,2.01
355,San Francisco,20,CO,1563144105,43,1.17,-76.88,71.6,10.29
356,Cabo San Lucas,20,MX,1563144004,55,22.89,-109.91,96.01,20.8
357,Ilulissat,20,GL,1563144186,33,69.22,-51.1,57.2,4.7
358,Hvide Sande,34,DK,1563144187,82,56.01,8.13,55.99,11.41
359,Makakilo City,40,US,1563144187,48,21.35,-158.09,88.0,14.99
360,Polis,40,CY,1563144188,78,35.04,32.42,77.0,9.17
361,Farafangana,35,MG,1563144188,81,-22.82,47.83,60.16,2.77
362,Taltal,98,CL,1563144188,85,-25.41,-70.49,49.54,3.38
363,Ilhabela,0,BR,1563144176,66,-23.78,-45.36,74.2,8.1
364,Labuhan,63,ID,1563144189,76,-2.54,115.51,74.2,0.65
365,Whitefish,20,US,1563144189,41,48.41,-114.33,82.0,11.41
366,Vuyyuru,83,IN,1563144189,80,16.37,80.85,81.22,6.04
367,Ponta Grossa,70,BR,1563144190,83,-25.09,-50.16,59.26,2.95
368,Moerai,22,PF,1563144190,71,-22.43,-151.33,71.32,9.44
369,Sechura,23,PE,1563144190,86,-5.56,-80.82,64.66,14.67
370,Saint-Augustin,75,CA,1563144191,49,45.63,-73.98,75.99,10.29
371,Itapage,49,BR,1563144191,83,-3.69,-39.59,74.56,5.39
372,Phimai,100,TH,1563144191,54,15.22,102.49,87.01,10.8
373,Road Town,40,VG,1563144188,66,18.42,-64.62,86.0,13.87
374,Jardim,50,BR,1563144192,56,-21.48,-56.15,72.4,1.12
